VariableCode,RegionCode,YearCode,AggValue
pop,CAN,2000,30.58838300000000000
rgdpo,CAN,2001,1273725.25000000000000000
pop,CAN,2001,30.88007300000000000
rgdpo,CAN,2002,1282036.25000000000000000
pop,CAN,2002,31.17826300000000000
rgdpo,CAN,2003,1346111.25000000000000000
pop,CAN,2003,31.48804800000000000
rgdpo,CAN,2004,1406270.75000000000000000
pop,CAN,2004,31.81549400000000000
rgdpo,CAN,2005,1514082.62500000000000000
pop,CAN,2005,32.16430900000000000
rgdpo,CAN,2006,1522705.12500000000000000
pop,CAN,2006,32.53698700000000000
rgdpo,CAN,2007,1555354.12500000000000000
pop,CAN,2007,32.93079400000000000
rgdpo,CAN,2008,1620558.50000000000000000
rgdpo,BGR,2005,100854.50781250000000000
pop,BGR,2005,7.68696200000000000
rgdpo,BGR,2006,106781.78125000000000000
pop,BGR,2006,7.63101200000000000
rgdpo,BGR,2007,115264.27343750000000000
pop,BGR,2007,7.57667200000000000
rgdpo,BGR,2008,123447.67187500000000000
pop,BGR,2008,7.52408700000000000
rgdpo,BGR,2009,119096.24218750000000000
pop,BGR,2009,7.47351300000000000
rgdpo,BGR,2010,123621.28125000000000000
pop,BGR,2010,7.42500800000000000
rgdpo,BGR,2011,122260.41406250000000000
pop,BGR,2011,7.37865000000000000
rgdpo,BGR,2012,125269.00000000000000000
pop,BGR,2012,7.33400300000000000
rgdpo,BGR,2013,119148.25781250000000000
pop,BGR,2013,7.29008800000000000
rgdpo,BGR,2014,122941.53906250000000000
pop,BGR,2014,7.24564600000000000
rgdpo,BGR,2015,127390.25000000000000000
pop,BGR,2015,7.19974100000000000
rgdpo,BGR,2016,133492.14062500000000000
pop,BGR,2016,7.15195300000000000
rgdpo,BGR,2017,139064.67187500000000000
pop,BGR,2017,7.10244400000000000
rgdpo,BGR,2018,143782.76562500000000000
pop,BGR,2018,7.05160800000000000
rgdpo,BGR,2019,149432.42187500000000000
pop,BGR,2019,7.00011900000000000
rgdpo,BHR,1990,7898.73974609375000000
pop,BHR,1990,0.49593100000000000
rgdpo,BHR,1991,7877.56054687500000000
pop,BHR,1991,0.50976000000000000
rgdpo,BHR,1992,8185.22607421875000000
pop,BHR,1992,0.52308600000000000
rgdpo,BHR,1993,9259.13183593750000000
pop,BHR,1993,0.53621000000000000
rgdpo,BHR,1994,9519.37109375000000000
pop,BHR,1994,0.54958300000000000
rgdpo,BHR,1995,9821.44140625000000000
pop,BHR,1995,0.56369700000000000
rgdpo,BHR,1996,9449.94335937500000000
pop,BHR,1996,0.57866600000000000
rgdpo,BHR,1997,11471.13769531250000000
pop,BHR,1997,0.59493100000000000
rgdpo,BHR,1998,10787.89062500000000000
pop,BHR,1998,0.61370000000000000
rgdpo,BHR,1999,13232.76757812500000000
pop,BHR,1999,0.63654100000000000
rgdpo,BHR,2000,18461.00195312500000000
pop,BHR,2000,0.66461100000000000
rgdpo,BHR,2001,18450.12890625000000000
pop,BHR,2001,0.69754500000000000
rgdpo,BHR,2002,17755.77148437500000000
pop,BHR,2002,0.73514600000000000
rgdpo,BHR,2003,22070.62304687500000000
pop,BHR,2003,0.77870800000000000
rgdpo,BHR,2004,24931.36914062500000000
pop,BHR,2004,0.82984400000000000
rgdpo,BHR,2005,34176.51562500000000000
pop,BHR,2005,0.88916400000000000
rgdpo,BHR,2006,39408.31250000000000000
pop,BHR,2006,0.95841800000000000
rgdpo,BHR,2007,44902.71093750000000000
pop,BHR,2007,1.03591900000000000
rgdpo,BHR,2008,61727.62109375000000000
pop,BHR,2008,1.11464100000000000
rgdpo,BHR,2009,52375.57812500000000000
pop,BHR,2009,1.18507600000000000
rgdpo,BHR,2010,57765.90625000000000000
pop,BHR,2010,1.24086000000000000
rgdpo,BHR,2011,61295.44531250000000000
pop,BHR,2011,1.27815100000000000
rgdpo,BHR,2012,73147.82031250000000000
pop,BHR,2012,1.29994400000000000
rgdpo,BHR,2013,72742.82031250000000000
pop,BHR,2013,1.31502800000000000
rgdpo,BHR,2014,70960.78906250000000000
pop,BHR,2014,1.33607500000000000
rgdpo,BHR,2015,66548.13281250000000000
pop,BHR,2015,1.37185100000000000
rgdpo,BHR,2016,66639.79687500000000000
pop,BHR,2016,1.42579200000000000
rgdpo,BHR,2017,73566.20312500000000000
pop,BHR,2017,1.49407600000000000
rgdpo,BHR,2018,77336.96875000000000000
pop,BHR,2018,1.56944600000000000
rgdpo,BHR,2019,77077.60937500000000000
pop,BHR,2019,1.64117200000000000
rgdpo,CZE,1990,250625.65625000000000000
pop,CZE,1990,10.34087500000000000
rgdpo,CZE,1991,211435.64062500000000000
pop,CZE,1991,10.34645200000000000
rgdpo,CZE,1992,209714.07812500000000000
pop,CZE,1992,10.35302800000000000
rgdpo,CZE,1993,212731.35937500000000000
pop,CZE,1993,10.35869000000000000
rgdpo,CZE,1994,224292.59375000000000000
pop,CZE,1994,10.36096900000000000
rgdpo,CZE,1995,232851.01562500000000000
pop,CZE,1995,10.35819300000000000
rgdpo,CZE,1996,243425.28125000000000000
pop,CZE,1996,10.35030900000000000
rgdpo,CZE,1997,234766.31250000000000000
pop,CZE,1997,10.33833900000000000
rgdpo,CZE,1998,225792.23437500000000000
pop,CZE,1998,10.32324700000000000
rgdpo,CZE,1999,224739.14062500000000000
pop,CZE,1999,10.30641100000000000
rgdpo,CZE,2000,231523.20312500000000000
pop,CZE,2000,10.28937300000000000
rgdpo,CZE,2001,242380.28125000000000000
pop,CZE,2001,10.27100800000000000
rgdpo,CZE,2002,238087.01562500000000000
pop,CZE,2002,10.25226100000000000
rgdpo,CZE,2003,249011.45312500000000000
pop,CZE,2003,10.23913600000000000
rgdpo,CZE,2004,256095.25000000000000000
pop,CZE,2004,10.23943900000000000
rgdpo,CZE,2005,279153.06250000000000000
pop,CZE,2005,10.25816700000000000
rgdpo,CZE,2006,285493.87500000000000000
pop,CZE,2006,10.29861400000000000
rgdpo,CZE,2007,310792.03125000000000000
pop,CZE,2007,10.35753800000000000
rgdpo,CZE,2008,327105.06250000000000000
pop,CAN,2008,33.33763800000000000
rgdpo,CAN,2009,1457230.62500000000000000
pop,CAN,2009,33.74609300000000000
rgdpo,CAN,2010,1558715.62500000000000000
pop,CAN,2010,34.14756400000000000
rgdpo,CAN,2011,1649477.12500000000000000
pop,CAN,2011,34.53915900000000000
rgdpo,CAN,2012,1661054.37500000000000000
pop,CAN,2012,34.92203000000000000
rgdpo,CAN,2013,1723023.00000000000000000
pop,CAN,2013,35.29652800000000000
rgdpo,CAN,2014,1780581.87500000000000000
pop,CAN,2014,35.66433700000000000
rgdpo,CAN,2015,1691290.50000000000000000
pop,CAN,2015,36.02667600000000000
rgdpo,CAN,2016,1711195.00000000000000000
pop,CAN,2016,36.38294400000000000
rgdpo,CAN,2017,1796296.50000000000000000
pop,CAN,2017,36.73209500000000000
rgdpo,CAN,2018,1833635.00000000000000000
pop,CAN,2018,37.07456200000000000
rgdpo,CAN,2019,1866214.87500000000000000
pop,CAN,2019,37.41104700000000000
rgdpo,DEU,1990,2221450.25000000000000000
pop,DEU,1990,79.05398400000000000
rgdpo,DEU,1991,2344616.25000000000000000
pop,DEU,1991,79.49083500000000000
rgdpo,DEU,1992,2428830.00000000000000000
pop,DEU,1992,79.96315900000000000
rgdpo,DEU,1993,2454800.00000000000000000
pop,DEU,1993,80.42855600000000000
rgdpo,DEU,1994,2551067.00000000000000000
pop,DEU,1994,80.83293700000000000
rgdpo,DEU,1995,2642739.75000000000000000
pop,DEU,1995,81.13865900000000000
rgdpo,DEU,1996,2678939.75000000000000000
pop,DEU,1996,81.32366400000000000
rgdpo,DEU,1997,2767329.50000000000000000
pop,DEU,1997,81.39925100000000000
rgdpo,DEU,1998,2862586.00000000000000000
pop,DEU,1998,81.40267300000000000
rgdpo,DEU,1999,2978213.00000000000000000
pop,DEU,1999,81.38992700000000000
rgdpo,DEU,2000,3035471.75000000000000000
pop,DEU,2000,81.40088200000000000
rgdpo,DEU,2001,3076616.00000000000000000
pop,DEU,2001,81.45388500000000000
rgdpo,DEU,2002,3065723.00000000000000000
pop,DEU,2002,81.53512200000000000
rgdpo,DEU,2003,3140563.50000000000000000
pop,DEU,2003,81.61438000000000000
rgdpo,DEU,2004,3231047.25000000000000000
pop,DEU,2004,81.64647400000000000
rgdpo,DEU,2005,3391866.50000000000000000
pop,DEU,2005,81.60274100000000000
rgdpo,DEU,2006,3470312.00000000000000000
pop,DEU,2006,81.47222600000000000
rgdpo,DEU,2007,3665398.50000000000000000
pop,DEU,2007,81.27783000000000000
rgdpo,DEU,2008,3750630.75000000000000000
pop,DEU,2008,81.06575200000000000
rgdpo,DEU,2009,3498118.00000000000000000
pop,DEU,2009,80.89996100000000000
rgdpo,DEU,2010,3672402.00000000000000000
pop,DEU,2010,80.82700200000000000
rgdpo,DEU,2011,3861188.25000000000000000
pop,DEU,2011,80.85563200000000000
rgdpo,DEU,2012,3830993.25000000000000000
pop,DEU,2012,80.97262800000000000
rgdpo,DEU,2013,3839727.75000000000000000
pop,DEU,2013,81.17436700000000000
rgdpo,DEU,2014,3973957.75000000000000000
pop,DEU,2014,81.45037800000000000
rgdpo,DEU,2015,3931076.75000000000000000
pop,DEU,2015,81.78741100000000000
rgdpo,DEU,2016,4048522.75000000000000000
pop,DEU,2016,82.19376800000000000
rgdpo,DEU,2017,4236518.50000000000000000
pop,DEU,2017,82.65840900000000000
rgdpo,DEU,2018,4263030.50000000000000000
pop,DEU,2018,83.12441800000000000
rgdpo,DEU,2019,4275312.00000000000000000
pop,DEU,2019,83.51704500000000000
rgdpo,FRA,1990,1581094.75000000000000000
pop,FRA,1990,58.23569700000000000
rgdpo,FRA,1991,1586835.25000000000000000
pop,FRA,1991,58.51236900000000000
rgdpo,FRA,1992,1615930.00000000000000000
pop,FRA,1992,58.77336500000000000
rgdpo,FRA,1993,1612599.00000000000000000
pop,FRA,1993,59.02251900000000000
rgdpo,FRA,1994,1645412.25000000000000000
pop,FRA,1994,59.26565300000000000
rgdpo,FRA,1995,1682645.00000000000000000
pop,FRA,1995,59.50848400000000000
rgdpo,FRA,1996,1720381.50000000000000000
pop,FRA,1996,59.74876700000000000
rgdpo,FRA,1997,1819024.12500000000000000
pop,FRA,1997,59.98887300000000000
rgdpo,FRA,1998,1921072.87500000000000000
pop,FRA,1998,60.24433700000000000
rgdpo,FRA,1999,2011288.12500000000000000
pop,FRA,1999,60.53517900000000000
rgdpo,FRA,2000,2128715.25000000000000000
pop,FRA,2000,60.87435700000000000
rgdpo,FRA,2001,2185648.25000000000000000
pop,FRA,2001,61.26922300000000000
rgdpo,FRA,2002,2197271.75000000000000000
pop,FRA,2002,61.71208300000000000
rgdpo,FRA,2003,2144133.75000000000000000
pop,FRA,2003,62.18211100000000000
rgdpo,FRA,2004,2188098.25000000000000000
pop,FRA,2004,62.64966400000000000
rgdpo,FRA,2005,2372596.75000000000000000
pop,FRA,2005,63.09288800000000000
rgdpo,FRA,2006,2432615.50000000000000000
pop,FRA,2006,63.50304700000000000
rgdpo,FRA,2007,2546277.75000000000000000
pop,FRA,2007,63.88467900000000000
rgdpo,FRA,2008,2568574.25000000000000000
pop,FRA,2008,64.24542800000000000
rgdpo,FRA,2009,2487517.50000000000000000
pop,FRA,2009,64.59847400000000000
rgdpo,FRA,2010,2591608.50000000000000000
pop,FRA,2010,64.95250300000000000
rgdpo,FRA,2011,2665867.25000000000000000
pop,FRA,2011,65.31039200000000000
rgdpo,CYM,1990,2372.90209960938000000
pop,CYM,1990,0.02531200000000000
rgdpo,CYM,1991,2282.61962890625000000
pop,CYM,1991,0.02654400000000000
rgdpo,CYM,1992,2159.40625000000000000
pop,CYM,1992,0.02778000000000000
rgdpo,CYM,1993,2512.98242187500000000
pop,CYM,1993,0.02906900000000000
rgdpo,CYM,1994,2367.09228515625000000
pop,CYM,1994,0.03051400000000000
rgdpo,CYM,1995,2456.95996093750000000
pop,CYM,1995,0.03216600000000000
rgdpo,CYM,1996,2454.98388671875000000
pop,CYM,1996,0.03406500000000000
rgdpo,CYM,1997,2849.25610351563000000
pop,CYM,1997,0.03615600000000000
rgdpo,CYM,1998,3243.81738281250000000
pop,CYM,1998,0.03832900000000000
rgdpo,CYM,1999,3266.65820312500000000
pop,CYM,1999,0.04042000000000000
rgdpo,CYM,2000,3529.39843750000000000
pop,CYM,2000,0.04230300000000000
rgdpo,CYM,2001,3483.50610351563000000
pop,CYM,2001,0.04393500000000000
rgdpo,CYM,2002,3485.43066406250000000
pop,CYM,2002,0.04535100000000000
rgdpo,CYM,2003,3713.55273437500000000
pop,CYM,2003,0.04663200000000000
rgdpo,CYM,2004,3593.36352539063000000
pop,CYM,2004,0.04790200000000000
rgdpo,CYM,2005,4170.20166015625000000
pop,CYM,2005,0.04926100000000000
rgdpo,CYM,2006,4560.51318359375000000
pop,CYM,2006,0.05074000000000000
rgdpo,CYM,2007,4770.04296875000000000
pop,CYM,2007,0.05228000000000000
rgdpo,CYM,2008,4721.57128906250000000
pop,CYM,2008,0.05383600000000000
rgdpo,CYM,2009,4126.88476562500000000
pop,CYM,2009,0.05532200000000000
rgdpo,CYM,2010,3777.28491210938000000
pop,CYM,2010,0.05667200000000000
rgdpo,CYM,2011,3857.59741210938000000
pop,CYM,2011,0.05787800000000000
rgdpo,CYM,2012,3725.29565429688000000
pop,CYM,2012,0.05895800000000000
rgdpo,CYM,2013,3658.70190429688000000
pop,CYM,2013,0.05993200000000000
rgdpo,CYM,2014,3766.52099609375000000
pop,CYM,2014,0.06084800000000000
rgdpo,CYM,2015,3994.61743164063000000
pop,CYM,2015,0.06172400000000000
rgdpo,CYM,2016,3444.36328125000000000
pop,CYM,2016,0.06256900000000000
rgdpo,CYM,2017,4269.58837890625000000
pop,CYM,2017,0.06338200000000000
rgdpo,CYM,2018,3969.59350585938000000
pop,CYM,2018,0.06417400000000000
rgdpo,CYM,2019,4004.11499023438000000
pop,CYM,2019,0.06494800000000000
rgdpo,GRC,2004,319653.59375000000000000
pop,GRC,2004,11.23499200000000000
rgdpo,GRC,2005,326492.31250000000000000
pop,GRC,2005,11.22479100000000000
rgdpo,GRC,2006,351992.50000000000000000
pop,GRC,2006,11.18522800000000000
rgdpo,GRC,2007,352220.43750000000000000
pop,GRC,2007,11.12035800000000000
rgdpo,GRC,2008,362663.50000000000000000
pop,GRC,2008,11.04030900000000000
rgdpo,GRC,2009,350892.50000000000000000
pop,GRC,2009,10.95927200000000000
rgdpo,GRC,2010,324407.43750000000000000
pop,GRC,2010,10.88763700000000000
rgdpo,GRC,2011,294014.78125000000000000
pop,GRC,2011,10.82907900000000000
rgdpo,GRC,2012,281534.37500000000000000
pop,GRC,2012,10.78112500000000000
rgdpo,GRC,2013,281881.12500000000000000
pop,GRC,2013,10.74050000000000000
rgdpo,GRC,2014,278412.31250000000000000
pop,GRC,2014,10.70145600000000000
rgdpo,GRC,2015,280679.06250000000000000
pop,GRC,2015,10.65975000000000000
rgdpo,GRC,2016,274068.90625000000000000
pop,GRC,2016,10.61518500000000000
rgdpo,GRC,2017,279853.40625000000000000
pop,GRC,2017,10.56945000000000000
rgdpo,GRC,2018,279920.59375000000000000
pop,GRC,2018,10.52224600000000000
rgdpo,GRC,2019,284893.62500000000000000
pop,GRC,2019,10.47345500000000000
rgdpo,IRQ,1990,125449.57812500000000000
pop,IRQ,1990,17.41911300000000000
rgdpo,IRQ,1991,42665.03515625000000000
pop,IRQ,1991,17.88945900000000000
rgdpo,IRQ,1992,53382.75390625000000000
pop,IRQ,1992,18.40273400000000000
